age,gender,race,highest_grade,tertiary_edu,province_current,province_moved,province_before,province_during
33.0,Man,African/Black,Grade 12,Yes,KwaZulu-Natal,No,,
35.0,Man,African/Black,Grade 12,No,KwaZulu-Natal,No,,
31.0,Man,African/Black,Grade 12,No,KwaZulu-Natal,No,,
33.0,Woman,African/Black,Grade 11,No,Gauteng,No,,
30.0,Woman,African/Black,Grade 12,Yes,Free State,No,,
38.0,Woman,African/Black,Grade 10,No,Free State,No,,
30.0,Man,African/Black,Grade 12,Yes,Gauteng,No,,
40.0,Woman,African/Black,Grade 12,No,North West,No,,
34.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
52.0,Woman,African/Black,Grade 12,Yes,Free State,No,,
31.0,Man,African/Black,Grade 12,Yes,Free State,No,,
64.0,Woman,African/Black,Grade 10,No,Free State,No,,
45.0,Woman,African/Black,Grade 11,No,Free State,No,,
53.0,Man,African/Black,Grade 8,,Free State,No,,
40.0,Man,African/Black,Grade 12,No,Gauteng,No,,
47.0,Woman,African/Black,Grade 12,No,Free State,No,,
39.0,Woman,African/Black,Grade 7,,North West,No,,
36.0,Man,African/Black,Grade 12,Yes,North West,No,,
31.0,Man,African/Black,Grade 8,,North West,No,,
40.0,Man,African/Black,Grade 10,No,North West,No,,
41.0,Woman,African/Black,Grade 12,Yes,North West,No,,
81.0,Woman,African/Black,None,,North West,No,,
,Woman,African/Black,Grade 12,Yes,Free State,No,,
88.0,Woman,African/Black,None,,North West,No,,
33.0,Man,African/Black,Grade 10,No,North West,No,,
41.0,Woman,African/Black,Grade 12,No,North West,No,,
33.0,Man,African/Black,Grade 12,Yes,Mpumalanga,No,,
41.0,Woman,African/Black,Grade 10,No,North West,No,,
43.0,Woman,African/Black,Grade 9,No,Free State,Yes,Free State,Free State
48.0,Woman,African/Black,Grade 11,No,Limpopo,No,,
34.0,Woman,African/Black,Grade 12,No,Free State,No,,
36.0,Woman,African/Black,Grade 11,No,Limpopo,No,,
51.0,Woman,African/Black,Grade 12,Yes,North West,No,,
51.0,Woman,African/Black,Grade 7,,Limpopo,No,,
29.0,Woman,African/Black,Grade 11,No,Limpopo,No,,
57.0,Man,African/Black,Grade 11,No,North West,No,,
35.0,Woman,African/Black,Grade 9,No,North West,No,,
48.0,Man,African/Black,Grade 12,No,Free State,No,,
46.0,Woman,African/Black,Grade 11,No,Free State,No,,
30.0,Woman,African/Black,Grade 12,No,Free State,No,,
46.0,Woman,African/Black,Grade 11,No,Free State,No,,
51.0,Woman,African/Black,Grade 9,No,Free State,No,,
46.0,Man,African/Black,Grade 11,No,Free State,No,,
54.0,Woman,African/Black,Grade 10,No,Free State,No,,
43.0,Man,African/Black,Grade 11,No,Free State,No,,
40.0,Man,African/Black,Grade 5,,Free State,No,,
49.0,Woman,African/Black,Grade 11,No,Limpopo,No,,
37.0,Woman,African/Black,Grade 12,No,Free State,No,,
40.0,Woman,African/Black,Grade 10,No,North West,Yes,Free State,Free State
31.0,Woman,African/Black,Grade 11,No,Free State,No,,
,Woman,African/Black,Grade 6,,Free State,No,,
67.0,Woman,African/Black,Grade 2,,Free State,No,,
36.0,Woman,African/Black,Grade 12,No,Free State,No,,
34.0,Woman,African/Black,Grade 11,No,Mpumalanga,No,,
29.0,Woman,African/Black,Grade 12,Yes,Mpumalanga,No,,
27.0,Woman,African/Black,Grade 10,No,Gauteng,No,,
61.0,Man,African/Black,Grade 3,,Limpopo,No,,
30.0,Woman,African/Black,Grade 11,No,Mpumalanga,No,,
36.0,Woman,African/Black,Grade 10,Yes,Limpopo,No,,
41.0,Woman,African/Black,Grade 11,Yes,Gauteng,Yes,Gauteng,Limpopo
